sample_id,pair_id,seed,base_consensus_shift,method_consensus_shift,paired_valid,base_state,method_state,strict_rescue,persistent_failure,strict_harm,stable_success,fail_to_disagree,disagree_to_fail,base_A_identity_mean,method_A_identity_mean,delta_A_identity,base_B_identity_mean,method_B_identity_mean,delta_B_identity
sample_0050,pair_058,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0051,pair_097,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0052,pair_047,,False,,False,disagree,,False,False,False,False,False,False,3.5,,,4.0,,
sample_0053,pair_011,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0054,pair_046,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0055,pair_071,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0056,pair_021,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0057,pair_097,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0058,pair_024,,False,,False,disagree,,False,False,False,False,False,False,3.5,,,3.0,,
sample_0059,pair_018,,True,,False,fail,,False,False,False,False,False,False,2.0,,,3.5,,
sample_0060,pair_016,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0061,pair_028,,True,,False,fail,,False,False,False,False,False,False,3.0,,,3.0,,
sample_0062,pair_021,,True,,False,fail,,False,False,False,False,False,False,2.0,,,2.5,,
sample_0063,pair_007,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0064,pair_040,,True,,False,fail,,False,False,False,False,False,False,4.0,,,2.0,,
sample_0065,pair_042,,False,,False,disagree,,False,False,False,False,False,False,4.0,,,3.5,,
sample_0066,pair_018,,True,,False,fail,,False,False,False,False,False,False,2.5,,,4.0,,
sample_0067,pair_043,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0068,pair_061,,True,,False,fail,,False,False,False,False,False,False,4.0,,,2.0,,
sample_0069,pair_016,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0070,pair_008,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0071,pair_008,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0072,pair_009,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0073,pair_061,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0074,pair_075,,False,,False,disagree,,False,False,False,False,False,False,3.0,,,3.5,,
sample_0075,pair_059,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0076,pair_023,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0077,pair_045,,True,,False,fail,,False,False,False,False,False,False,2.0,,,3.5,,
sample_0078,pair_098,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0079,pair_083,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0080,pair_081,,True,,False,fail,,False,False,False,False,False,False,5.0,,,1.5,,
sample_0081,pair_035,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0082,pair_025,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0083,pair_055,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0084,pair_007,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0085,pair_098,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0086,pair_093,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0087,pair_063,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0088,pair_085,,False,,False,disagree,,False,False,False,False,False,False,4.0,,,2.5,,
sample_0089,pair_002,,True,,False,fail,,False,False,False,False,False,False,4.5,,,2.5,,
sample_0090,pair_098,,False,,False,disagree,,False,False,False,False,False,False,3.5,,,3.0,,
sample_0091,pair_046,,True,,False,fail,,False,False,False,False,False,False,2.0,,,2.5,,
sample_0092,pair_091,,True,,False,fail,,False,False,False,False,False,False,2.5,,,4.0,,
sample_0093,pair_041,,False,,False,disagree,,False,False,False,False,False,False,4.0,,,3.0,,
sample_0094,pair_073,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0095,pair_003,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0096,pair_048,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0097,pair_094,,False,,False,disagree,,False,False,False,False,False,False,3.0,,,3.0,,
sample_0098,pair_027,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0099,pair_004,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0100,pair_071,,True,,False,fail,,False,False,False,False,False,False,3.0,,,3.5,,
sample_0101,pair_094,,,True,False,,fail,False,False,False,False,False,False,,2.5,,,3.0,
sample_0102,pair_025,,True,,False,fail,,False,False,False,False,False,False,3.5,,,2.5,,
sample_0103,pair_041,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0104,pair_006,,False,,False,disagree,,False,False,False,False,False,False,4.5,,,4.0,,
sample_0105,pair_002,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0106,pair_066,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0107,pair_058,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0108,pair_068,,,True,False,,fail,False,False,False,False,False,False,,3.0,,,2.0,
sample_0109,pair_081,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0110,pair_037,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0111,pair_073,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0112,pair_048,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0113,pair_009,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0114,pair_040,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0115,pair_071,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0116,pair_090,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0117,pair_085,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0118,pair_100,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0119,pair_005,,False,,False,disagree,,False,False,False,False,False,False,4.5,,,3.0,,
sample_0120,pair_075,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0121,pair_071,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0122,pair_083,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0123,pair_013,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0124,pair_024,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0125,pair_039,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0126,pair_055,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0127,pair_047,,False,,False,disagree,,False,False,False,False,False,False,3.5,,,3.5,,
sample_0128,pair_033,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0129,pair_011,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0130,pair_070,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0131,pair_015,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0132,pair_075,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0133,pair_096,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0134,pair_051,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0135,pair_034,,True,,False,fail,,False,False,False,False,False,False,3.5,,,2.5,,
sample_0136,pair_093,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0137,pair_086,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0138,pair_086,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0139,pair_038,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0140,pair_007,,False,,False,disagree,,False,False,False,False,False,False,3.5,,,4.0,,
sample_0141,pair_091,,False,,False,disagree,,False,False,False,False,False,False,3.0,,,4.0,,
sample_0142,pair_076,,,True,False,,fail,False,False,False,False,False,False,,1.0,,,2.0,
sample_0143,pair_003,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0144,pair_048,,True,,False,fail,,False,False,False,False,False,False,3.0,,,3.5,,
sample_0145,pair_027,,False,,False,disagree,,False,False,False,False,False,False,4.5,,,3.5,,
sample_0146,pair_027,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0147,pair_003,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0148,pair_010,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0149,pair_077,,True,,False,fail,,False,False,False,False,False,False,2.5,,,3.0,,
sample_0150,pair_042,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0151,pair_084,,False,,False,disagree,,False,False,False,False,False,False,3.5,,,3.5,,
sample_0152,pair_016,,,False,False,,disagree,False,False,False,False,False,False,,4.0,,,3.0,
sample_0153,pair_096,,False,,False,disagree,,False,False,False,False,False,False,4.0,,,3.5,,
sample_0154,pair_051,,True,,False,fail,,False,False,False,False,False,False,3.5,,,2.5,,
sample_0155,pair_081,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0156,pair_092,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0157,pair_008,,False,True,True,disagree,fail,False,False,False,False,False,True,5.0,4.0,-1.0,3.0,2.0,-1.0
sample_0158,pair_054,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0159,pair_030,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0160,pair_099,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0161,pair_089,,True,,False,fail,,False,False,False,False,False,False,4.0,,,3.0,,
sample_0162,pair_040,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0163,pair_067,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0164,pair_092,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0165,pair_033,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0166,pair_096,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0167,pair_044,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0168,pair_044,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0169,pair_037,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0170,pair_034,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0171,pair_017,,True,True,True,fail,fail,False,True,False,False,False,False,1.0,2.0,1.0,4.0,3.0,-1.0
sample_0172,pair_003,,True,,False,fail,,False,False,False,False,False,False,4.0,,,2.5,,
sample_0173,pair_097,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0174,pair_094,,False,,False,disagree,,False,False,False,False,False,False,3.0,,,3.0,,
sample_0175,pair_077,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0176,pair_092,,False,,False,disagree,,False,False,False,False,False,False,4.0,,,3.5,,
sample_0177,pair_066,,True,,False,fail,,False,False,False,False,False,False,4.0,,,2.0,,
sample_0178,pair_060,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0179,pair_096,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0180,pair_035,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0181,pair_089,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0182,pair_074,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0183,pair_046,,True,,False,fail,,False,False,False,False,False,False,1.5,,,2.0,,
sample_0184,pair_083,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0185,pair_090,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0186,pair_088,,False,,False,disagree,,False,False,False,False,False,False,4.5,,,3.5,,
sample_0187,pair_049,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0188,pair_087,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0189,pair_032,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0190,pair_035,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0191,pair_024,,,False,False,,disagree,False,False,False,False,False,False,,3.5,,,3.5,
sample_0192,pair_085,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0193,pair_022,,True,,False,fail,,False,False,False,False,False,False,2.0,,,4.5,,
sample_0194,pair_099,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0195,pair_063,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0196,pair_066,,True,,False,fail,,False,False,False,False,False,False,3.0,,,3.0,,
sample_0197,pair_050,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0198,pair_062,,,True,False,,fail,False,False,False,False,False,False,,2.5,,,2.0,
sample_0199,pair_005,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0200,pair_024,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0201,pair_056,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0202,pair_073,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0203,pair_014,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0204,pair_004,,False,,False,disagree,,False,False,False,False,False,False,4.0,,,3.5,,
sample_0205,pair_066,,True,,False,fail,,False,False,False,False,False,False,3.0,,,2.5,,
sample_0206,pair_039,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0207,pair_027,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0208,pair_064,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0209,pair_084,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0210,pair_080,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0211,pair_074,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0212,pair_057,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0213,pair_001,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0214,pair_051,,True,,False,fail,,False,False,False,False,False,False,2.5,,,2.5,,
sample_0215,pair_024,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0216,pair_049,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0217,pair_056,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0218,pair_008,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0219,pair_014,,False,,False,disagree,,False,False,False,False,False,False,3.0,,,2.5,,
sample_0220,pair_094,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0221,pair_097,,True,,False,fail,,False,False,False,False,False,False,4.0,,,1.0,,
sample_0222,pair_068,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0223,pair_077,,,True,False,,fail,False,False,False,False,False,False,,1.5,,,1.5,
sample_0224,pair_055,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0225,pair_028,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0226,pair_019,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0227,pair_023,,False,,False,disagree,,False,False,False,False,False,False,4.5,,,3.5,,
sample_0228,pair_037,,False,,False,disagree,,False,False,False,False,False,False,4.5,,,3.5,,
sample_0229,pair_067,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0230,pair_035,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0231,pair_018,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0232,pair_093,,,False,False,,disagree,False,False,False,False,False,False,,3.5,,,3.0,
sample_0233,pair_036,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0234,pair_099,,False,,False,disagree,,False,False,False,False,False,False,3.5,,,3.5,,
sample_0235,pair_037,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0236,pair_062,,,True,False,,fail,False,False,False,False,False,False,,1.5,,,2.0,
sample_0237,pair_013,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0238,pair_072,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0239,pair_071,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0240,pair_080,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0241,pair_045,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0242,pair_022,,True,,False,fail,,False,False,False,False,False,False,2.5,,,3.5,,
sample_0243,pair_015,,,True,False,,fail,False,False,False,False,False,False,,2.5,,,3.0,
sample_0244,pair_007,,True,,False,fail,,False,False,False,False,False,False,4.0,,,4.0,,
sample_0245,pair_006,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0246,pair_070,,,True,False,,fail,False,False,False,False,False,False,,2.5,,,3.5,
sample_0247,pair_097,,,True,False,,fail,False,False,False,False,False,False,,1.5,,,3.0,
sample_0248,pair_023,,,False,False,,success,False,False,False,False,False,False,,4.5,,,4.5,
sample_0249,pair_057,,False,,False,disagree,,False,False,False,False,False,False,4.5,,,4.0,,
sample_0250,pair_100,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0251,pair_075,,True,,False,fail,,False,False,False,False,False,False,2.0,,,4.5,,
sample_0252,pair_052,,True,,False,fail,,False,False,False,False,False,False,3.0,,,4.0,,
sample_0253,pair_028,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0254,pair_050,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0255,pair_010,,True,,False,fail,,False,False,False,False,False,False,2.5,,,3.0,,
sample_0256,pair_057,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0257,pair_019,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0258,pair_031,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0259,pair_078,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0260,pair_041,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0261,pair_004,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0262,pair_062,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0263,pair_031,,True,True,True,fail,fail,False,True,False,False,False,False,2.5,1.0,-1.5,3.0,1.0,-2.0
sample_0264,pair_012,,False,,False,disagree,,False,False,False,False,False,False,4.5,,,3.5,,
sample_0265,pair_001,,True,,False,fail,,False,False,False,False,False,False,3.0,,,3.0,,
sample_0266,pair_046,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0267,pair_076,,True,,False,fail,,False,False,False,False,False,False,1.5,,,1.5,,
sample_0268,pair_041,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0269,pair_089,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0270,pair_021,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0271,pair_062,,,True,False,,fail,False,False,False,False,False,False,,1.5,,,1.5,
sample_0272,pair_022,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0273,pair_010,,False,,False,disagree,,False,False,False,False,False,False,3.5,,,3.5,,
sample_0274,pair_052,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0275,pair_093,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0276,pair_070,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0277,pair_100,,False,,False,disagree,,False,False,False,False,False,False,4.0,,,3.5,,
sample_0278,pair_034,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0279,pair_002,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0280,pair_063,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0281,pair_035,,True,,False,fail,,False,False,False,False,False,False,0.5,,,0.0,,
sample_0282,pair_002,,True,,False,fail,,False,False,False,False,False,False,4.5,,,2.5,,
sample_0283,pair_006,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0284,pair_059,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0285,pair_090,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0286,pair_091,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0287,pair_043,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0288,pair_066,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0289,pair_058,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0290,pair_092,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0291,pair_053,,,False,False,,disagree,False,False,False,False,False,False,,3.0,,,3.0,
sample_0292,pair_054,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0293,pair_034,,True,False,True,fail,disagree,False,False,False,False,True,False,3.0,3.5,0.5,3.0,3.0,0.0
sample_0294,pair_053,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0295,pair_009,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0296,pair_090,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0297,pair_057,,False,,False,disagree,,False,False,False,False,False,False,3.5,,,3.5,,
sample_0298,pair_065,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0299,pair_020,,True,,False,fail,,False,False,False,False,False,False,1.5,,,1.5,,
sample_0300,pair_048,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0301,pair_025,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0302,pair_093,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0303,pair_086,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0304,pair_064,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0305,pair_037,,True,,False,fail,,False,False,False,False,False,False,3.5,,,2.5,,
sample_0306,pair_087,,True,False,True,fail,disagree,False,False,False,False,True,False,4.0,4.0,0.0,3.0,4.0,1.0
sample_0307,pair_007,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0308,pair_050,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0309,pair_016,,True,True,True,fail,fail,False,True,False,False,False,False,4.5,3.0,-1.5,1.0,2.5,1.5
sample_0310,pair_036,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0311,pair_086,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0312,pair_086,,False,,False,disagree,,False,False,False,False,False,False,4.5,,,3.5,,
sample_0313,pair_001,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0314,pair_030,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0315,pair_084,,False,,False,disagree,,False,False,False,False,False,False,4.5,,,3.0,,
sample_0316,pair_004,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0317,pair_008,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0318,pair_044,,True,,False,fail,,False,False,False,False,False,False,3.5,,,2.0,,
sample_0319,pair_059,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0320,pair_017,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0321,pair_022,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0322,pair_049,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0323,pair_042,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0324,pair_065,,False,,False,disagree,,False,False,False,False,False,False,3.0,,,3.0,,
sample_0325,pair_083,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0326,pair_090,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0327,pair_033,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0328,pair_071,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0329,pair_069,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0330,pair_031,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0331,pair_044,,,False,False,,disagree,False,False,False,False,False,False,,3.0,,,3.0,
sample_0332,pair_098,,False,,False,success,,False,False,False,False,False,False,5.0,,,4.0,,
sample_0333,pair_038,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0334,pair_073,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0335,pair_025,,,True,False,,fail,False,False,False,False,False,False,,3.0,,,3.5,
sample_0336,pair_070,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0337,pair_009,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0338,pair_040,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0339,pair_061,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0340,pair_049,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0341,pair_070,,False,,False,disagree,,False,False,False,False,False,False,4.0,,,4.0,,
sample_0342,pair_011,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0343,pair_028,,True,,False,fail,,False,False,False,False,False,False,2.0,,,2.5,,
sample_0344,pair_094,,False,,False,disagree,,False,False,False,False,False,False,3.5,,,3.5,,
sample_0345,pair_028,,True,,False,fail,,False,False,False,False,False,False,1.0,,,1.0,,
sample_0346,pair_083,,False,,False,disagree,,False,False,False,False,False,False,4.5,,,3.5,,
sample_0347,pair_076,,True,,False,fail,,False,False,False,False,False,False,2.5,,,3.5,,
sample_0348,pair_087,,False,,False,disagree,,False,False,False,False,False,False,4.5,,,4.0,,
