attribution,candidate_task_id,consensus_A_affected,consensus_B_affected,consensus_shift,entity_A,entity_A_diagnostic,entity_B,entity_B_diagnostic,gemini_candidate_A_score,gemini_candidate_B_score,gemini_shift,gemini_standalone_A_correct,gemini_standalone_B_correct,gemini_valid,latent_seed,method_key,native_task_id,pair_id,pair_index,qwen_candidate_A_score,qwen_candidate_B_score,qwen_shift,qwen_standalone_A_correct,qwen_standalone_B_correct,qwen_valid,replicate,sample_id,seed_group,standalone_A_task_id,standalone_B_task_id
knowledge_insufficiency,pair_021_lsda_original_g1_r1_s1011,True,False,True,a Japanese Raku tea bowl,"a Japanese Raku tea bowl with a hand-shaped low-fired body and irregular black glaze, showing a warped rim and tactile matte-to-gloss surface",a Korean buncheong tea bowl,"a Korean buncheong tea bowl made of gray stoneware brushed with white slip, showing stamped, incised, or freely painted decoration beneath a translucent glaze",3,2,True,False,False,True,1011,original,pair_021_native_SS_g1_r1_s1011,pair_021,21,3,4,True,False,True,True,1,sample_0062,1,pair_021_standalone_A_g1_r1_s1011,pair_021_standalone_B_g1_r1_s1011
mixed_or_uncertain,pair_043_lsda_original_g3_r3_s3033,True,False,True,a Russian Fabergé-style guilloché enamel box,"a Russian Fabergé-style guilloché enamel box with translucent enamel over machine-engraved radiating patterns, showing pastel color fields, gold mounts, and jeweled accents",an Indian Jaipur meenakari enamel box,"an Indian Jaipur meenakari enamel box with opaque red, green, blue, and white enamel on gilded metal, showing peacocks, flowers, and scrolling foliage",2,3,True,False,True,True,3033,original,pair_043_native_SS_g3_r3_s3033,pair_043,43,3,5,True,True,True,True,3,sample_0067,3,pair_043_standalone_A_g3_r3_s3033,pair_043_standalone_B_g3_r3_s3033
composition_mechanism_failure,pair_061_lsda_original_g2_r3_s2023,False,True,True,a Japanese silk kimono,"a Japanese silk kimono with a lustrous woven ground and dyed or embroidered decoration, showing cranes, cherry blossoms, water, and seasonal motifs",a Lao sinh silk skirt,"a Lao sinh silk skirt with supplementary-weft silk bands and patterned borders, showing diamonds, serpents, temple forms, and jewel colors",3,2,True,True,True,True,2023,original,pair_061_native_SS_g2_r3_s2023,pair_061,61,5,3,True,True,True,True,3,sample_0068,2,pair_061_standalone_A_g2_r3_s2023,pair_061_standalone_B_g2_r3_s2023
mixed_or_uncertain,pair_008_lsda_original_g1_r2_s1012,True,True,True,a Chinese famille-rose porcelain vase,"a Chinese famille-rose porcelain vase with opaque pink, green, yellow, and turquoise overglaze enamels, showing peonies, birds, and auspicious garden scenes",a Hungarian Herend porcelain vase,"a Hungarian Herend porcelain vase with polychrome enamel painting and gilded rims, showing stylized butterflies, flowers, and scale-like fishnet patterns",2,2,True,True,False,True,1012,original,pair_008_native_SS_g1_r2_s1012,pair_008,8,2,2,True,True,False,True,2,sample_0070,1,pair_008_standalone_A_g1_r2_s1012,pair_008_standalone_B_g1_r2_s1012
mixed_or_uncertain,pair_098_lsda_original_g1_r3_s1013,True,True,True,a Russian matryoshka wooden doll,"a Russian matryoshka wooden doll with a turned wooden body painted in colors, showing a smiling figure in a floral headscarf and apron",a Japanese Tsugaru kokeshi wooden doll,"a Japanese Tsugaru kokeshi wooden doll with a lathe-turned cylindrical body and rounded head, showing painted rings, chrysanthemum motifs, and a simple face",2,2,True,True,False,True,1013,original,pair_098_native_SS_g1_r3_s1013,pair_098,98,3,2,True,True,True,True,3,sample_0078,1,pair_098_standalone_A_g1_r3_s1013,pair_098_standalone_B_g1_r3_s1013
mixed_or_uncertain,pair_091_lsda_original_g2_r1_s2021,True,False,True,a Venetian Murano glass vase,"a Venetian Murano glass vase made from vividly colored blown glass with layered canes, showing curves, millefiori accents, and polished translucent depth",a Palestinian Hebron blown-glass vase,"a Palestinian Hebron blown-glass vase made from recycled glass in translucent turquoise and green, showing a irregular hand-blown body, bubbles, and applied glass trails",3,3,True,True,True,True,2021,original,pair_091_native_SS_g2_r1_s2021,pair_091,91,2,4,True,False,True,True,1,sample_0092,2,pair_091_standalone_A_g2_r1_s2021,pair_091_standalone_B_g2_r1_s2021
mixed_or_uncertain,pair_094_lsda_original_g2_r1_s2021,True,False,True,a Japanese woven-bamboo basket,"a Japanese woven-bamboo basket made from split bamboo in a open weave, showing hexagonal plaiting, curved handles, and an asymmetrical sculptural profile",a Philippine nito-vine basket,"a Philippine nito-vine basket woven from dark nito vine over a lighter structural frame, showing tight black-and-tan spirals, diamonds, and rhythmic geometric bands",2,3,True,False,False,True,2021,original,pair_094_native_SS_g2_r1_s2021,pair_094,94,2,4,True,True,False,True,1,sample_0101,2,pair_094_standalone_A_g2_r1_s2021,pair_094_standalone_B_g2_r1_s2021
composition_mechanism_failure,pair_025_lsda_original_g1_r1_s1011,True,False,True,a Mexican Mata Ortiz pottery jar,"a Mexican Mata Ortiz pottery jar with a thin-walled polished clay body and black-and-red painting, showing interlocking geometric and Mimbres-inspired animal motifs",a Serbian Zlakusa pottery jar,"a Serbian Zlakusa pottery jar made from clay mixed with ground calcite, showing a unglazed surface, rounded cooking-vessel form, and sparse incised bands",2,3,True,True,False,True,1011,original,pair_025_native_SS_g1_r1_s1011,pair_025,25,2,4,True,True,False,True,1,sample_0102,1,pair_025_standalone_A_g1_r1_s1011,pair_025_standalone_B_g1_r1_s1011
knowledge_insufficiency,pair_002_lsda_original_g2_r3_s2023,False,True,True,a Chinese blue-and-white porcelain plate,"a Chinese blue-and-white porcelain plate with cobalt-blue underglaze painting, showing Chinese landscape, lotus, and scrolling-cloud motifs",a Japanese Nabeshima porcelain plate,"a Japanese Nabeshima porcelain plate with underglaze-blue outlines and sparse overglaze color, showing asymmetrical flowers, textiles, and geometric border motifs",2,2,True,True,False,True,2023,original,pair_002_native_SS_g2_r3_s2023,pair_002,2,4,2,True,True,False,True,3,sample_0105,2,pair_002_standalone_A_g2_r3_s2023,pair_002_standalone_B_g2_r3_s2023
knowledge_insufficiency,pair_058_lsda_original_g1_r1_s1011,True,False,True,a Russian brass samovar,"a Russian brass samovar with a polished urn-shaped body, side handles, and ornate spigot, showing engraved floral bands and architectural details",an Iranian Qajar brass samovar,"an Iranian Qajar brass samovar with a tall faceted brass body, curved handles, and engraved panels showing birds, flowers, and courtly motifs",3,3,True,False,False,True,1011,original,pair_058_native_SS_g1_r1_s1011,pair_058,58,2,4,True,False,True,True,1,sample_0107,1,pair_058_standalone_A_g1_r1_s1011,pair_058_standalone_B_g1_r1_s1011
mixed_or_uncertain,pair_100_lsda_original_g3_r1_s3031,False,True,True,an Inuit soapstone figurine,"an Inuit soapstone figurine carved from dark gray-green stone with rounded tactile surfaces, showing a compact animal or human figure with incised details",a Kenyan Kisii soapstone figurine,"a Kenyan Kisii soapstone figurine carved from pale soapstone and polished, showing an abstract intertwined human or animal form with rounded contours",2,2,True,False,False,True,3031,original,pair_100_native_SS_g3_r1_s3031,pair_100,100,4,3,True,False,True,True,1,sample_0118,3,pair_100_standalone_A_g3_r1_s3031,pair_100_standalone_B_g3_r1_s3031
composition_mechanism_failure,pair_005_lsda_original_g3_r2_s3032,True,True,True,a Japanese Imari porcelain plate,"a Japanese Imari porcelain plate with cobalt-blue underglaze and iron-red and gold overglaze decoration, showing radial floral panels and patterned reserves",a Japanese Kutani porcelain plate,"a Japanese Kutani porcelain plate with polychrome overglaze enamels in green, yellow, red, purple, and blue, showing floral and landscape panels",2,2,True,True,True,True,3032,original,pair_005_native_SS_g3_r2_s3032,pair_005,5,1,1,True,True,True,True,2,sample_0119,3,pair_005_standalone_A_g3_r2_s3032,pair_005_standalone_B_g3_r2_s3032
composition_mechanism_failure,pair_075_lsda_original_g1_r1_s1011,True,True,True,a Mexican Otomi embroidered blouse,"a Mexican Otomi embroidered blouse worked in flat satin stitch, showing mirrored birds, deer, flowers, and fantastical animals around the neckline and sleeves",a Guatemalan huipil blouse,"a Guatemalan huipil blouse woven and embroidered in colors, showing diamonds, birds, maize, and community-specific geometric bands",3,2,True,True,True,True,1011,original,pair_075_native_SS_g1_r1_s1011,pair_075,75,4,4,True,True,True,True,1,sample_0120,1,pair_075_standalone_A_g1_r1_s1011,pair_075_standalone_B_g1_r1_s1011
knowledge_insufficiency,pair_013_lsda_original_g3_r2_s3032,False,True,True,a Dutch blue-and-white Delftware vase,"a Dutch blue-and-white Delftware vase with opaque white tin glaze, painted in cobalt blue with canal-house, tulip, and ornamental border motifs",a Tunisian Qallaline faience vase,"a Tunisian Qallaline faience vase with tin glaze, painted in cobalt blue, green, ochre, and manganese with cypress, arch, and floral motifs",4,2,True,True,False,True,3032,original,pair_013_native_SS_g3_r2_s3032,pair_013,13,4,2,True,True,False,True,2,sample_0123,3,pair_013_standalone_A_g3_r2_s3032,pair_013_standalone_B_g3_r2_s3032
knowledge_insufficiency,pair_030_lsda_original_g1_r3_s1013,False,True,True,a Chinese Longquan celadon vase,"a Chinese Longquan celadon vase with a thick translucent sea-green glaze over a balanced stoneware form, showing carved lotus petals and defined ridges",a Thai Si Satchanalai celadon vase,"a Thai Si Satchanalai celadon vase with an olive-green crackled glaze over gray stoneware, showing incised lotus petals, ring bands, and a high-shouldered profile",3,2,True,False,False,True,1013,original,pair_030_native_SS_g1_r3_s1013,pair_030,30,3,3,True,False,False,True,3,sample_0159,1,pair_030_standalone_A_g1_r3_s1013,pair_030_standalone_B_g1_r3_s1013
mixed_or_uncertain,pair_044_lsda_original_g2_r3_s2023,True,True,True,a Japanese shippō cloisonné enamel box,"a Japanese shippō cloisonné enamel box with colored enamel cells divided by silver wires, showing chrysanthemums, butterflies, and graded pictorial grounds",a Russian Rostov finift painted-enamel box,"a Russian Rostov finift painted-enamel box with miniature enamel painting on a white metal-mounted plaque, showing delicate flowers, saints, or pastoral scenes in pastel colors",3,2,True,True,True,True,2023,original,pair_044_native_SS_g2_r3_s2023,pair_044,44,2,4,True,False,True,True,3,sample_0168,2,pair_044_standalone_A_g2_r3_s2023,pair_044_standalone_B_g2_r3_s2023
knowledge_insufficiency,pair_066_lsda_original_g1_r3_s1013,False,True,True,a Chinese silk-brocade robe,"a Chinese silk-brocade robe woven with colored silk and gold thread, showing dragons, clouds, waves, and organized auspicious emblems",an Assamese muga-silk robe,"an Assamese muga-silk robe woven from naturally golden silk with red, green, and black supplementary motifs, showing stylized flowers and geometric borders",3,2,True,False,False,True,1013,original,pair_066_native_SS_g1_r3_s1013,pair_066,66,4,2,True,True,False,True,3,sample_0177,1,pair_066_standalone_A_g1_r3_s1013,pair_066_standalone_B_g1_r3_s1013
shift_location_disagreement,pair_032_lsda_original_g2_r3_s2023,False,False,True,a Japanese maki-e lacquerware tray,"a Japanese maki-e lacquerware tray with deep black lacquer sprinkled with gold and silver powder, showing cranes, pine branches, and landscape motifs",a Burmese shwe zawa lacquerware tray,"a Burmese shwe zawa lacquerware tray with a black lacquer ground and engraved gold-leaf decoration, showing courtly figures, mythical animals, and filled borders",3,2,True,False,False,True,2023,original,pair_032_native_SS_g2_r3_s2023,pair_032,32,3,4,True,False,True,True,3,sample_0189,2,pair_032_standalone_A_g2_r3_s2023,pair_032_standalone_B_g2_r3_s2023
mixed_or_uncertain,pair_063_lsda_original_g2_r1_s2021,False,True,True,an Indian Banarasi brocade sari,"an Indian Banarasi brocade sari woven in rich silk with gold zari, showing floral buta, scrolling vines, and elaborate architectural borders",a Bhutanese kushuthara silk kira,"a Bhutanese kushuthara silk kira woven in silk with supplementary-weft patterning, showing geometric flowers, diamonds, and horizontal bands",4,2,True,True,True,True,2021,original,pair_063_native_SS_g2_r1_s2021,pair_063,63,4,3,True,True,False,True,1,sample_0195,2,pair_063_standalone_A_g2_r1_s2021,pair_063_standalone_B_g2_r1_s2021
composition_mechanism_failure,pair_056_lsda_original_g3_r1_s3031,True,True,True,a Benin bronze relief plaque,"a Benin bronze relief plaque made of cast brass with high-relief court figures, showing patterned robes, coral regalia, and a hierarchical composition",a Nepalese repoussé copper plaque,"a Nepalese repoussé copper plaque made of hammered copper worked from the reverse, showing a Buddhist deity, lotus throne, and flame-like halo with gilded details",3,2,True,True,True,True,3031,original,pair_056_native_SS_g3_r1_s3031,pair_056,56,2,0,True,True,True,True,1,sample_0201,3,pair_056_standalone_A_g3_r1_s3031,pair_056_standalone_B_g3_r1_s3031
mixed_or_uncertain,pair_018_lsda_original_g1_r3_s1013,True,True,True,a Moroccan Fes ceramic bowl,"a Moroccan Fes ceramic bowl with a white glazed body painted in cobalt blue, green, and yellow, showing organized star, arabesque, and palmette motifs",an Algerian Kabyle pottery bowl,"an Algerian Kabyle pottery bowl made of hand-built earthenware with red, black, and white painted decoration, showing triangles, chevrons, and protective geometric signs",2,2,True,False,False,True,1013,original,pair_018_native_SS_g1_r3_s1013,pair_018,18,2,2,True,True,True,True,3,sample_0231,1,pair_018_standalone_A_g1_r3_s1013,pair_018_standalone_B_g1_r3_s1013
composition_mechanism_failure,pair_007_lsda_original_g2_r2_s2022,True,True,True,a French Sèvres porcelain vase,"a French Sèvres porcelain vase with a bleu-céleste ground, gilded bronze-like ornament, and painted floral or courtly reserve panels",a Russian Imperial Porcelain cobalt-net vase,"a Russian Imperial Porcelain cobalt-net vase with cobalt-blue lattice, gold intersections, and radiating rosette motifs",3,3,True,True,True,True,2022,original,pair_007_native_SS_g2_r2_s2022,pair_007,7,3,5,True,True,True,True,2,sample_0244,2,pair_007_standalone_A_g2_r2_s2022,pair_007_standalone_B_g2_r2_s2022
knowledge_insufficiency,pair_100_lsda_original_g3_r3_s3033,False,True,True,an Inuit soapstone figurine,"an Inuit soapstone figurine carved from dark gray-green stone with rounded tactile surfaces, showing a compact animal or human figure with incised details",a Kenyan Kisii soapstone figurine,"a Kenyan Kisii soapstone figurine carved from pale soapstone and polished, showing an abstract intertwined human or animal form with rounded contours",3,2,True,True,False,True,3033,original,pair_100_native_SS_g3_r3_s3033,pair_100,100,4,3,True,True,False,True,3,sample_0250,3,pair_100_standalone_A_g3_r3_s3033,pair_100_standalone_B_g3_r3_s3033
composition_mechanism_failure,pair_041_lsda_original_g1_r2_s1012,True,True,True,a Chinese cloisonné vase,"a Chinese cloisonné vase with turquoise and cobalt-blue enamel cells separated by gilded metal wires, showing lotus, cloud, and auspicious motifs",a Georgian Minankari enamel vase,"a Georgian Minankari enamel vase with translucent jewel-toned enamel over engraved silver, showing compact flowers, birds, and scrolling vines outlined by metalwork",2,2,True,True,True,True,1012,original,pair_041_native_SS_g1_r2_s1012,pair_041,41,2,2,True,True,True,True,2,sample_0260,1,pair_041_standalone_A_g1_r2_s1012,pair_041_standalone_B_g1_r2_s1012
mixed_or_uncertain,pair_001_lsda_original_g1_r1_s1011,False,True,True,a Chinese blue-and-white porcelain vase,"a Chinese blue-and-white porcelain vase with cobalt-blue underglaze painting, showing Chinese landscape, lotus, and scrolling-cloud motifs",a Vietnamese Bát Tràng blue-and-white ceramic vase,"a Vietnamese Bát Tràng blue-and-white ceramic vase with cobalt-blue hand-painted decoration on pale glaze, showing stylized lotus, fish, and scrolling foliage",4,3,True,True,False,True,1011,original,pair_001_native_SS_g1_r1_s1011,pair_001,1,4,3,True,True,True,True,1,sample_0265,1,pair_001_standalone_A_g1_r1_s1011,pair_001_standalone_B_g1_r1_s1011
mixed_or_uncertain,pair_021_lsda_original_g2_r1_s2021,True,True,True,a Japanese Raku tea bowl,"a Japanese Raku tea bowl with a hand-shaped low-fired body and irregular black glaze, showing a warped rim and tactile matte-to-gloss surface",a Korean buncheong tea bowl,"a Korean buncheong tea bowl made of gray stoneware brushed with white slip, showing stamped, incised, or freely painted decoration beneath a translucent glaze",2,2,True,True,True,True,2021,original,pair_021_native_SS_g2_r1_s2021,pair_021,21,2,3,True,False,True,True,1,sample_0270,2,pair_021_standalone_A_g2_r1_s2021,pair_021_standalone_B_g2_r1_s2021
mixed_or_uncertain,pair_092_lsda_original_g3_r2_s3032,True,True,True,a Bohemian cut-glass vase,"a Bohemian cut-glass vase made from clear or ruby-overlaid crystal with deep wheel-cut facets, showing stars, fans, and sharply sparkling geometric panels",a Czech Železný Brod art-glass vase,"a Czech Železný Brod art-glass vase made from hand-shaped colored glass with clean modern curves, showing layered transparent tones, internal bubbles, and sculptural forms",2,2,True,True,False,True,3032,original,pair_092_native_SS_g3_r2_s3032,pair_092,92,2,3,True,False,True,True,2,sample_0290,3,pair_092_standalone_A_g3_r2_s3032,pair_092_standalone_B_g3_r2_s3032
composition_mechanism_failure,pair_048_lsda_original_g2_r3_s2023,True,True,True,an Indian Bidriware box,"an Indian Bidriware box made of blackened zinc alloy inlaid with silver, showing poppy flowers, geometric lattices, and arabesques",an Egyptian Mamluk-style inlaid-brass box,"an Egyptian Mamluk-style inlaid-brass box made of brass inlaid with silver and copper, showing monumental calligraphy, interlaced medallions, and geometric borders",2,2,True,True,True,True,2023,original,pair_048_native_SS_g2_r3_s2023,pair_048,48,2,1,True,True,True,True,3,sample_0300,2,pair_048_standalone_A_g2_r3_s2023,pair_048_standalone_B_g2_r3_s2023
mixed_or_uncertain,pair_007_lsda_original_g2_r1_s2021,True,True,True,a French Sèvres porcelain vase,"a French Sèvres porcelain vase with a bleu-céleste ground, gilded bronze-like ornament, and painted floral or courtly reserve panels",a Russian Imperial Porcelain cobalt-net vase,"a Russian Imperial Porcelain cobalt-net vase with cobalt-blue lattice, gold intersections, and radiating rosette motifs",2,2,True,True,False,True,2021,original,pair_007_native_SS_g2_r1_s2021,pair_007,7,2,3,True,True,True,True,1,sample_0307,2,pair_007_standalone_A_g2_r1_s2021,pair_007_standalone_B_g2_r1_s2021
composition_mechanism_failure,pair_025_lsda_original_g2_r1_s2021,True,False,True,a Mexican Mata Ortiz pottery jar,"a Mexican Mata Ortiz pottery jar with a thin-walled polished clay body and black-and-red painting, showing interlocking geometric and Mimbres-inspired animal motifs",a Serbian Zlakusa pottery jar,"a Serbian Zlakusa pottery jar made from clay mixed with ground calcite, showing a unglazed surface, rounded cooking-vessel form, and sparse incised bands",2,3,True,True,False,True,2021,original,pair_025_native_SS_g2_r1_s2021,pair_025,25,0,4,True,True,False,True,1,sample_0335,2,pair_025_standalone_A_g2_r1_s2021,pair_025_standalone_B_g2_r1_s2021
composition_mechanism_failure,pair_049_lsda_original_g2_r1_s2021,True,False,True,a Chinese cloisonné enamel plate,"a Chinese cloisonné enamel plate with turquoise and cobalt-blue enamel cells separated by gilded metal wires, showing lotus, cloud, and auspicious motifs",a French Limoges painted-enamel plate,"a French Limoges painted-enamel plate with opaque and translucent enamel painted over copper, showing Renaissance figures, grisaille shading, and jewel-toned borders",2,3,True,True,False,True,2021,original,pair_049_native_SS_g2_r1_s2021,pair_049,49,3,5,True,True,True,True,1,sample_0340,2,pair_049_standalone_A_g2_r1_s2021,pair_049_standalone_B_g2_r1_s2021
knowledge_insufficiency,pair_028_lsda_original_g1_r2_s1012,True,True,True,a Chinese Jun ware ceramic bowl,"a Chinese Jun ware ceramic bowl with a thick opalescent blue glaze and irregular purple splashes, showing a simple rounded form and pooled color",a Japanese Hagi ware tea bowl,"a Japanese Hagi ware tea bowl with a porous stoneware body and milky white crackled glaze, showing a irregular foot and ash-toned surface",2,2,True,False,False,True,1012,original,pair_028_native_SS_g1_r2_s1012,pair_028,28,2,3,True,False,False,True,2,sample_0345,1,pair_028_standalone_A_g1_r2_s1012,pair_028_standalone_B_g1_r2_s1012
composition_mechanism_failure,pair_061_lsda_original_g2_r1_s2021,False,True,True,a Japanese silk kimono,"a Japanese silk kimono with a lustrous woven ground and dyed or embroidered decoration, showing cranes, cherry blossoms, water, and seasonal motifs",a Lao sinh silk skirt,"a Lao sinh silk skirt with supplementary-weft silk bands and patterned borders, showing diamonds, serpents, temple forms, and jewel colors",3,2,True,True,True,True,2021,original,pair_061_native_SS_g2_r1_s2021,pair_061,61,4,2,True,True,True,True,1,sample_0353,2,pair_061_standalone_A_g2_r1_s2021,pair_061_standalone_B_g2_r1_s2021
composition_mechanism_failure,pair_095_lsda_original_g3_r2_s3032,False,True,True,a Navajo coiled basket,"a Navajo coiled basket woven from plant fibers in a shallow circular form, showing a central opening and radiating red, black, and natural spiral motifs",a Panamanian Wounaan chunga basket,"a Panamanian Wounaan chunga basket coiled from palm fiber, showing exceptionally tight weaving and animal, plant, or geometric motifs in black and colors",2,2,True,True,True,True,3032,original,pair_095_native_SS_g3_r2_s3032,pair_095,95,4,2,True,True,True,True,2,sample_0358,3,pair_095_standalone_A_g3_r2_s3032,pair_095_standalone_B_g3_r2_s3032
knowledge_insufficiency,pair_022_lsda_original_g3_r3_s3033,True,False,True,a Chinese sancai glazed ceramic jar,"a Chinese sancai glazed ceramic jar with amber, green, and cream lead glazes over a rounded earthenware body, showing drips and molded relief bands",a Peruvian Chulucanas pottery jar,"a Peruvian Chulucanas pottery jar with a burnished clay surface in black, cream, and brown, showing negative-painted geometric bands and abstract figures",2,2,True,False,True,True,3033,original,pair_022_native_SS_g3_r3_s3033,pair_022,22,2,4,True,False,True,True,3,sample_0359,3,pair_022_standalone_A_g3_r3_s3033,pair_022_standalone_B_g3_r3_s3033
