eval_id,sample_id,pair_id,pair_index,seed_group,replicate,latent_seed,condition,entity_A,entity_B,left_choice,right_choice,correct_binding,drift,A_to_B_leakage,B_to_A_leakage,left_reason,right_reason,model
eval_0218,sample_0660,pair_001,1,3,1,3031,lsda_clean,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,"broad blue-and-white scenic painting with soft gradients and tree motifs, mirroring A-alone's surface style","blue-and-white landscape motif with dense patterned neck and foot, matching B-alone's decorative technique",qwen3-vl-235b-a22b-instruct
eval_0340,sample_0660,pair_001,1,3,1,3031,native_SS,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,soft landscape painting with misty tonal gradients and sparse detailing like A-alone,dense blue floral and geometric patterns with high-contrast glaze finish like B-alone,qwen3-vl-235b-a22b-instruct
eval_1484,sample_0712,pair_001,1,3,2,3032,lsda_clean,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,"identical blue-toned brushwork, architectural details, and banding as A-alone",blue-and-white landscape motif and border pattern match B-alone,qwen3-vl-235b-a22b-instruct
eval_1337,sample_0712,pair_001,1,3,2,3032,native_SS,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,"matches A-alone’s detailed pagoda scene, border patterns, and tonal rendering",shares identical blue-and-white landscape motif and brushwork texture with B-alone,qwen3-vl-235b-a22b-instruct
eval_1161,sample_0841,pair_001,1,3,3,3033,lsda_clean,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,Matches A-alone’s soft blue-and-white landscape painting style and brushwork texture.,"Shares dense blue floral and geometric motifs with B-alone, unlike A-alone’s landscape focus.",qwen3-vl-235b-a22b-instruct
eval_0020,sample_0841,pair_001,1,3,3,3033,native_SS,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,matches A-alone’s soft landscape painting style and brushwork texture,"shares dense floral and geometric blue motifs with B-alone, unlike A-alone's landscape focus",qwen3-vl-235b-a22b-instruct
eval_0733,sample_0859,pair_002,2,1,1,1011,lsda_clean,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,B,1,0,0,0,"detailed pagoda, mountains, and border pattern identical to A-alone's decorative system","blue-and-white landscape with pine trees and figure, matching B-alone's motif and brushwork",qwen3-vl-235b-a22b-instruct
eval_1443,sample_0859,pair_002,2,1,1,1011,native_SS,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,B,A,0,1,1,1,"Matches B's tree forms, misty landscape texture, and figure placement without architecture.",Shares A's detailed architectural motif and border pattern with fine line work.,qwen3-vl-235b-a22b-instruct
eval_0145,sample_0279,pair_002,2,1,2,1012,lsda_clean,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,B,1,0,0,0,"matches A's dense landscape, architectural detail, and geometric border",shares B's sparse floral motif and soft washes without border pattern,qwen3-vl-235b-a22b-instruct
eval_0654,sample_0279,pair_002,2,1,2,1012,native_SS,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,B,1,0,0,0,Identical blue-and-white landscape motif and geometric border as A-alone.,"Plain white glaze with no blue decoration, matching B-alone's minimalist finish.",qwen3-vl-235b-a22b-instruct
eval_0505,sample_0282,pair_002,2,1,3,1013,lsda_clean,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,B,1,0,0,0,"Matches A's crisp blue-and-white palette, detailed pagoda motif, and ornate geometric border pattern.","Shares B's soft blue wash, misty landscape texture, and lack of red accents or dense border ornament.",qwen3-vl-235b-a22b-instruct
eval_1657,sample_0282,pair_002,2,1,3,1013,native_SS,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,B,1,0,0,0,"Matches A's dense blue border pattern, calligraphic seals, and detailed architectural rendering.","Shares B's soft, misty blue wash and unbordered landscape without ornamental framing.",qwen3-vl-235b-a22b-instruct
eval_0735,sample_0616,pair_002,2,2,1,2021,lsda_clean,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,B,1,0,0,0,"Matches A's dense architectural scene, intricate border, and saturated cobalt blue.","Shares B's sparse, misty landscape with flying birds and softer blue washes.",qwen3-vl-235b-a22b-instruct
eval_0183,sample_0616,pair_002,2,2,1,2021,native_SS,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,B,1,0,0,0,"Matches A's intricate landscape details, dense architecture, and ornate border pattern.",Shares B's sparse composition and soft blue washes without dense border motifs.,qwen3-vl-235b-a22b-instruct
eval_0293,sample_0384,pair_002,2,2,2,2022,lsda_clean,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,B,1,0,0,0,"Matches A's dense landscape, architectural detail, and geometric border pattern.",Shares B's sparse pine motif and soft ink-wash texture without border ornament.,qwen3-vl-235b-a22b-instruct
eval_0274,sample_0384,pair_002,2,2,2,2022,native_SS,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,B,1,0,0,0,"Matches A's dense architectural detail, layered landscape, and sharp blue rendering.","Shares B's looser brushwork, misty texture, and sparse tree motifs.",qwen3-vl-235b-a22b-instruct
eval_0137,sample_0105,pair_002,2,2,3,2023,lsda_clean,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,B,1,0,0,0,"Matches A's dense blue monochrome rendering, sharp brushwork, and lack of color accents.","Shares B's subtle color wash, soft mountain gradients, and calligraphic seal detail.",qwen3-vl-235b-a22b-instruct
eval_1507,sample_0105,pair_002,2,2,3,2023,native_SS,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,B,1,0,0,0,"displays dense blue-and-white landscape painting with misty mountains and architecture, identical to A-alone's motif and texture","features sparse blue floral border with minimal decoration, matching B-alone's restrained ornament style",qwen3-vl-235b-a22b-instruct
eval_0854,sample_0399,pair_002,2,3,1,3031,lsda_clean,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,B,1,0,0,0,Matches A's full blue-and-white landscape with detailed architecture and ornate border motifs.,"Shares B's sparse composition and minimal blue wash with red accent, lacking A's dense patterned border.",qwen3-vl-235b-a22b-instruct
eval_0259,sample_0399,pair_002,2,3,1,3031,native_SS,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,A,0,1,1,0,Identical blue-and-white ink-wash landscape with pagoda and trees matches A-alone.,Blue-and-white landscape motif with mountain and pavilion echoes A-alone's style.,qwen3-vl-235b-a22b-instruct
eval_1136,sample_0089,pair_002,2,3,2,3032,lsda_clean,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,B,1,0,0,0,Matches A's dense blue monochrome painting and geometric border motif.,Shares B's soft celadon ground and sparse red-orange accents in landscape.,qwen3-vl-235b-a22b-instruct
eval_0892,sample_0089,pair_002,2,3,2,3032,native_SS,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,B,1,0,0,0,matches A-alone’s deep blue monochrome palette and geometric border,shares pale green glaze and subtle orange accents with B-alone,qwen3-vl-235b-a22b-instruct
eval_1238,sample_0833,pair_002,2,3,3,3033,lsda_clean,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,B,1,0,0,0,"Matches A-alone’s cobalt blue palette, detailed architecture, and ornate border pattern.","Uses muted earth tones and sparse brushwork like B-alone, not the dense blue motifs of A.",qwen3-vl-235b-a22b-instruct
eval_0806,sample_0833,pair_002,2,3,3,3033,native_SS,a Chinese blue-and-white porcelain plate,a Japanese Nabeshima porcelain plate,A,B,1,0,0,0,"rich blue gradation with detailed landscape and decorative border, matching A-alone's ornamental style","monochrome blue wash with minimal border, matching B-alone's texture and finish",qwen3-vl-235b-a22b-instruct
eval_1074,sample_0883,pair_003,3,1,1,1011,lsda_clean,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,A,0,1,1,0,Blue-and-white figural scene and decorative borders align with A-alone.,Blue-and-white landscape motif and brushwork match A-alone.,qwen3-vl-235b-a22b-instruct
eval_0067,sample_0883,pair_003,3,1,1,1011,native_SS,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,A,0,1,1,0,Blue-and-white figural scene and decorative banding align with A-alone's style.,Blue-and-white landscape motif and glaze finish match A-alone.,qwen3-vl-235b-a22b-instruct
eval_0757,sample_0147,pair_003,3,1,2,1012,lsda_clean,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,B,1,0,0,0,matches A's blue-and-white landscape painting style and geometric borders,shares B's polychrome enamel palette and ornate floral/scroll motifs,qwen3-vl-235b-a22b-instruct
eval_0781,sample_0147,pair_003,3,1,2,1012,native_SS,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,A,0,1,1,0,"Identical blue-and-white painting style, brushwork, and decorative bands as A-alone.",Blue-and-white porcelain with landscape motifs and geometric borders matches A-alone.,qwen3-vl-235b-a22b-instruct
eval_0425,sample_0143,pair_003,3,1,3,1013,lsda_clean,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,B,1,0,0,0,monochrome blue-and-white landscape painting matches A-alone's surface style,rich polychrome floral motifs and gilded ornament match B-alone's surface style,qwen3-vl-235b-a22b-instruct
eval_1786,sample_0143,pair_003,3,1,3,1013,native_SS,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,B,1,0,0,0,Matches A's blue-and-white landscape painting style and brushwork texture.,"Shares B's polychrome floral motifs and ornate paneling, unlike A's monochrome blue landscape.",qwen3-vl-235b-a22b-instruct
eval_1167,sample_0172,pair_003,3,2,1,2021,lsda_clean,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,B,1,0,0,0,monochromatic blue-and-white landscape painting matches A-alone,vibrant multicolor palette and floral/ornamental motifs match B-alone,qwen3-vl-235b-a22b-instruct
eval_1458,sample_0172,pair_003,3,2,1,2021,native_SS,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,A,0,1,1,0,Blue-and-white landscape painting style and decorative bands align with A-alone.,Monochrome blue-and-white landscape motif and glaze finish match A-alone.,qwen3-vl-235b-a22b-instruct
eval_0808,sample_0386,pair_003,3,2,2,2022,lsda_clean,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,A,0,1,1,0,identical blue-and-white painted scenery and glaze finish as A-alone,blue-and-white landscape motif and brushwork texture match A-alone,qwen3-vl-235b-a22b-instruct
eval_0672,sample_0386,pair_003,3,2,2,2022,native_SS,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,A,0,1,1,0,Identical blue-and-white scenic painting style and glaze finish as A-alone.,Blue-and-white landscape motif and textured brushwork match A-alone.,qwen3-vl-235b-a22b-instruct
eval_0909,sample_0095,pair_003,3,2,3,2023,lsda_clean,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,B,1,0,0,0,blue-and-white landscape painting with fine line work mirrors A-alone's decorative technique,rich polychrome enamel with floral medallion and gold accents matches B-alone's surface style,qwen3-vl-235b-a22b-instruct
eval_0144,sample_0095,pair_003,3,2,3,2023,native_SS,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,A,0,1,1,0,Identical blue-and-white scenic painting style as A-alone.,Blue-and-white landscape motif and brushwork match A-alone.,qwen3-vl-235b-a22b-instruct
eval_1335,sample_0834,pair_003,3,3,1,3031,lsda_clean,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,B,1,0,0,0,matches blue-and-white landscape painting style of A-alone,shares yellow ground and floral motifs with B-alone,qwen3-vl-235b-a22b-instruct
eval_0345,sample_0834,pair_003,3,3,1,3031,native_SS,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,A,0,1,1,0,Identical blue-and-white scenic painting style and glaze finish as A-alone.,Blue-and-white landscape motif and brushwork texture match A-alone.,qwen3-vl-235b-a22b-instruct
eval_1646,sample_0431,pair_003,3,3,2,3032,lsda_clean,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,B,1,0,0,0,Matches blue-and-white landscape painting style and underglaze cobalt texture of A-alone.,"Shares orange ground, floral motifs, and polychrome enamel finish with B-alone.",qwen3-vl-235b-a22b-instruct
eval_0216,sample_0431,pair_003,3,3,2,3032,native_SS,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,A,0,1,1,0,Identical blue-and-white scenic decoration and glaze finish as A-alone.,Blue-and-white landscape motif and brushwork match A-alone.,qwen3-vl-235b-a22b-instruct
eval_0227,sample_0900,pair_003,3,3,3,3033,lsda_clean,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,B,1,0,0,0,matches A-alone’s blue-and-white landscape painting and monochromatic brushwork,"shares vibrant polychrome enamel, floral motifs, and gilded scrollwork with B-alone",qwen3-vl-235b-a22b-instruct
eval_0319,sample_0900,pair_003,3,3,3,3033,native_SS,a Chinese blue-and-white porcelain vase,a Thai Bencharong porcelain vase,A,A,0,1,1,0,Identical blue-and-white landscape painting style as A-alone.,Blue-and-white landscape motif and fine line work match A-alone.,qwen3-vl-235b-a22b-instruct
eval_0025,sample_0261,pair_004,4,1,1,1011,lsda_clean,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,Uses blue-and-orange palette with landscape motifs matching A-alone.,"Monochrome blue-and-white with figure scene, no orange accents.",qwen3-vl-235b-a22b-instruct
eval_1342,sample_0261,pair_004,4,1,1,1011,native_SS,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,B,B,0,1,0,1,"Blue-and-white palette and narrative human figures in landscape, consistent with B-alone’s surface style and ornament.","Blue-and-white monochrome with figural scene and landscape motifs, matching B-alone’s decorative technique and color system.",qwen3-vl-235b-a22b-instruct
eval_1121,sample_0204,pair_004,4,1,2,1012,lsda_clean,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,vibrant blue-and-orange Imari-style painting matches A-alone,rustic brown glaze and matte texture match B-alone,qwen3-vl-235b-a22b-instruct
eval_0130,sample_0204,pair_004,4,1,2,1012,native_SS,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,"glossy blue-and-white landscape painting with orange accents, mirroring A-alone’s polychrome Imari-style decoration","matte dark brown glaze with incised figures, matching B-alone's earthy texture and monochrome narrative style",qwen3-vl-235b-a22b-instruct
eval_0483,sample_0099,pair_004,4,1,3,1013,lsda_clean,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,vibrant blue-and-orange floral Imari pattern closely mirrors A-alone's color system and decorative technique,dark ground with gold landscape painting and figurative motifs matches B-alone's surface style,qwen3-vl-235b-a22b-instruct
eval_1187,sample_0099,pair_004,4,1,3,1013,native_SS,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,blue-and-white underglaze pine motif and crisp line work align with A-alone’s decorative technique,matte dark glaze with subtle incised patterns matches B-alone's surface finish and tone,qwen3-vl-235b-a22b-instruct
eval_1595,sample_0888,pair_004,4,2,1,2021,lsda_clean,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,Vibrant red-orange and cobalt blue floral/landscape motifs match A-alone.,Monochrome blue-gray landscape with ink-wash texture matches B-alone.,qwen3-vl-235b-a22b-instruct
eval_1780,sample_0888,pair_004,4,2,1,2021,native_SS,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,blue-and-white landscape with red-orange accents and ornate border aligns with A-alone's polychrome Imari palette,dark glaze with gold calligraphy and landscape motifs matches B-alone's monochrome ink-wash style,qwen3-vl-235b-a22b-instruct
eval_0929,sample_0797,pair_004,4,2,2,2022,lsda_clean,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,blue-and-white landscape with gold accents mirrors A-alone's decorative palette and motifs,dark matte glaze with figural painting matches B-alone's surface treatment,qwen3-vl-235b-a22b-instruct
eval_0608,sample_0797,pair_004,4,2,2,2022,native_SS,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,blue-and-white painted landscape with fine line work and porcelain finish matches A-alone,dark matte glaze with textured surface and minimal ornament matches B-alone,qwen3-vl-235b-a22b-instruct
eval_1055,sample_0853,pair_004,4,2,3,2023,lsda_clean,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,glossy blue-and-white porcelain with floral and cloud patterns matches A-alone,matte earthy glaze with monochrome landscape motifs matches B-alone,qwen3-vl-235b-a22b-instruct
eval_1698,sample_0853,pair_004,4,2,3,2023,native_SS,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,glossy blue-and-white porcelain with painted pine trees and rocks mirrors A-alone’s color system and decorative technique,matte dark brown glaze with incised landscape motifs matches B-alone's texture and monochrome earthy tone,qwen3-vl-235b-a22b-instruct
eval_1781,sample_0646,pair_004,4,3,1,3031,lsda_clean,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,"Vibrant Imari palette of blue, orange, and white with floral/dragon motifs matches A-alone.",Monochrome ink-wash landscape and geometric border match B-alone’s surface style.,qwen3-vl-235b-a22b-instruct
eval_1571,sample_0646,pair_004,4,3,1,3031,native_SS,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,blue and white landscape pattern echoes A-alone's vibrant blue/orange palette and cloud motifs,black ground with gold landscape motifs matches B-alone's monochrome ink-wash style,qwen3-vl-235b-a22b-instruct
eval_0715,sample_0370,pair_004,4,3,2,3032,lsda_clean,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,vibrant orange/blue enamel with floral/dragon motifs directly mirrors A-alone’s polychrome decorative system,matte dark glaze with incised geometric patterns matches B-alone's subdued finish and monochrome texture,qwen3-vl-235b-a22b-instruct
eval_1249,sample_0370,pair_004,4,3,2,3032,native_SS,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,vibrant orange ground with blue and white floral motifs and gold accents mirrors A-alone’s ornate polychrome style,matte black finish and subtle incised decoration match B-alone’s subdued texture and monochrome palette,qwen3-vl-235b-a22b-instruct
eval_1155,sample_0316,pair_004,4,3,3,3033,lsda_clean,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,Vibrant Imari palette and figural motifs align with A-alone’s decorative finish.,"Monochrome ink wash landscape with calligraphy, matching B-alone’s surface style.",qwen3-vl-235b-a22b-instruct
eval_1387,sample_0316,pair_004,4,3,3,3033,native_SS,a Japanese Imari porcelain jar,a Korean Joseon iron-painted porcelain jar,A,B,1,0,0,0,"vibrant polychrome enamel with red-orange foliage and blue borders, echoing A-alone's palette","monochrome ink-wash landscape on off-white ground, matching B-alone's aesthetic",qwen3-vl-235b-a22b-instruct
eval_0579,sample_0497,pair_005,5,1,1,1011,lsda_clean,a Japanese Imari porcelain plate,a Japanese Kutani porcelain plate,A,B,1,0,0,0,Blue-and-white landscape motif and texture align with A-alone’s decorative technique.,Monochrome blue-and-white palette and brushwork match B-alone’s surface style.,qwen3-vl-235b-a22b-instruct
eval_0590,sample_0497,pair_005,5,1,1,1011,native_SS,a Japanese Imari porcelain plate,a Japanese Kutani porcelain plate,A,B,1,0,0,0,Blue-and-white scene with architectural detail and tree forms stylistically aligns with A-alone.,Monochrome blue-and-white landscape with soft brushwork and misty mountains matches B-alone.,qwen3-vl-235b-a22b-instruct
eval_1726,sample_0199,pair_005,5,1,2,1012,lsda_clean,a Japanese Imari porcelain plate,a Japanese Kutani porcelain plate,A,B,1,0,0,0,matches A-alone’s cobalt blue palette and crisp line work,shares muted ink-wash tones and brushstroke texture with B-alone,qwen3-vl-235b-a22b-instruct
eval_1708,sample_0199,pair_005,5,1,2,1012,native_SS,a Japanese Imari porcelain plate,a Japanese Kutani porcelain plate,A,B,1,0,0,0,Blue-and-white palette and geometric border pattern match A-alone.,Monochrome ink-wash texture and landscape motif match B-alone.,qwen3-vl-235b-a22b-instruct
eval_1327,sample_0780,pair_005,5,1,3,1013,lsda_clean,a Japanese Imari porcelain plate,a Japanese Kutani porcelain plate,A,B,1,0,0,0,matches A-alone’s cobalt blue underglaze and geometric border motifs,shares warm earthy glaze and soft floral brushwork with B-alone,qwen3-vl-235b-a22b-instruct
eval_0433,sample_0780,pair_005,5,1,3,1013,native_SS,a Japanese Imari porcelain plate,a Japanese Kutani porcelain plate,A,B,1,0,0,0,blue-and-white underglaze with geometric border and architectural motifs aligns with A-alone's Imari-style decoration,rich warm glaze and floral brushwork match B-alone's earthy palette and painterly texture,qwen3-vl-235b-a22b-instruct
eval_1007,sample_0790,pair_005,5,2,1,2021,lsda_clean,a Japanese Imari porcelain plate,a Japanese Kutani porcelain plate,B,A,0,1,1,1,"Matches B-alone’s muted gray-blue washes, ink-wash landscape style, and restrained border pattern.","Shares bold blue and orange-red palette with A-alone, including similar tree motifs and architectural elements.",qwen3-vl-235b-a22b-instruct
eval_0103,sample_0790,pair_005,5,2,1,2021,native_SS,a Japanese Imari porcelain plate,a Japanese Kutani porcelain plate,B,A,0,1,1,1,Matches B-alone’s muted ink-wash mountain landscape and delicate brushwork texture.,"Shares bold blue and orange-red palette with A-alone, including cloud motifs and architectural details.",qwen3-vl-235b-a22b-instruct
eval_1452,sample_0620,pair_005,5,2,2,2022,lsda_clean,a Japanese Imari porcelain plate,a Japanese Kutani porcelain plate,A,B,1,0,0,0,"Matches A's blue-and-white palette, floral border motifs, and pagoda scene.",Shares B's naturalistic bird-and-landscape painting style and soft earthy tones.,qwen3-vl-235b-a22b-instruct
eval_0885,sample_0620,pair_005,5,2,2,2022,native_SS,a Japanese Imari porcelain plate,a Japanese Kutani porcelain plate,A,A,0,1,1,0,"Matches A's blue landscape scene, pagoda motif, and Imari color system.",Shares A's blue-and-orange floral border and Imari-style palette.,qwen3-vl-235b-a22b-instruct
eval_1131,sample_0565,pair_005,5,2,3,2023,lsda_clean,a Japanese Imari porcelain plate,a Japanese Kutani porcelain plate,A,B,1,0,0,0,"matches A-alone’s bold blue-and-orange palette, stylized trees, and crisp decorative borders","shares muted earth tones, soft brushwork, and naturalistic landscape motifs with B-alone",qwen3-vl-235b-a22b-instruct
eval_0500,sample_0565,pair_005,5,2,3,2023,native_SS,a Japanese Imari porcelain plate,a Japanese Kutani porcelain plate,B,A,0,1,1,1,"Matches B-alone’s muted earth tones, soft brushwork, and naturalistic landscape rendering.",Shares bold blue-and-orange palette and stylized floral motifs with A-alone.,qwen3-vl-235b-a22b-instruct
eval_0015,sample_0662,pair_005,5,3,1,3031,lsda_clean,a Japanese Imari porcelain plate,a Japanese Kutani porcelain plate,A,B,1,0,0,0,"Matches A's bold blue-and-orange palette, dense patterned border, and stylized figural scene.","Shares B's soft brushwork, gray washes, and naturalistic floral-bird motif with orange-red blooms.",qwen3-vl-235b-a22b-instruct
eval_0533,sample_0662,pair_005,5,3,1,3031,native_SS,a Japanese Imari porcelain plate,a Japanese Kutani porcelain plate,B,A,0,1,1,1,"Matches B-alone’s brushwork style, monochrome blue tones, and naturalistic scenery.",Shares red-orange floral motifs and blue landscape elements with A-alone.,qwen3-vl-235b-a22b-instruct
