attribution,consensus_A_affected,consensus_B_affected,consensus_shift,entity_A,entity_A_diagnostic,entity_B,entity_B_diagnostic,gemini_candidate_A_score,gemini_candidate_B_score,gemini_shift,gemini_standalone_A_correct,gemini_standalone_B_correct,gemini_valid,latent_seed,native_task_id,pair_id,pair_index,qwen_candidate_A_score,qwen_candidate_B_score,qwen_shift,qwen_standalone_A_correct,qwen_standalone_B_correct,qwen_valid,replicate,sample_id,seed_group,standalone_A_task_id,standalone_B_task_id
knowledge_insufficiency,False,True,True,a Chinese lacquered folding screen,"a Chinese lacquered folding screen with deep black lacquer, gilded outlines, and carved or painted garden scenes showing pavilions, birds, and flowering trees",a Vietnamese sơn mài lacquer screen,"a Vietnamese sơn mài lacquer screen with layered black, red, and gold lacquer polished to depth, showing stylized village scenes, bamboo, and eggshell inlay",3,1,True,False,False,True,3033,pair_040_native_SS_g3_r3_s3033,pair_040,40,5,3,True,True,False,True,3,sample_0064,3,pair_040_standalone_A_g3_r3_s3033,pair_040_standalone_B_g3_r3_s3033
knowledge_insufficiency,True,False,True,a Moroccan Fes ceramic bowl,"a Moroccan Fes ceramic bowl with a white glazed body painted in cobalt blue, green, and yellow, showing organized star, arabesque, and palmette motifs",an Algerian Kabyle pottery bowl,"an Algerian Kabyle pottery bowl made of hand-built earthenware with red, black, and white painted decoration, showing triangles, chevrons, and protective geometric signs",2,4,True,False,True,True,2023,pair_018_native_SS_g2_r3_s2023,pair_018,18,3,4,True,False,True,True,3,sample_0066,2,pair_018_standalone_A_g2_r3_s2023,pair_018_standalone_B_g2_r3_s2023
composition_mechanism_failure,False,True,True,a Japanese silk kimono,"a Japanese silk kimono with a lustrous woven ground and dyed or embroidered decoration, showing cranes, cherry blossoms, water, and seasonal motifs",a Lao sinh silk skirt,"a Lao sinh silk skirt with supplementary-weft silk bands and patterned borders, showing diamonds, serpents, temple forms, and jewel colors",4,1,True,True,True,True,2023,pair_061_native_SS_g2_r3_s2023,pair_061,61,4,3,True,True,True,True,3,sample_0068,2,pair_061_standalone_A_g2_r3_s2023,pair_061_standalone_B_g2_r3_s2023
knowledge_insufficiency,True,False,True,a Spanish Toledo damascened box,"a Spanish Toledo damascened box made of blackened steel inlaid with gold and silver, showing Moorish arabesques and geometric filigree patterns",a Japanese nunome-zōgan metal-inlay box,"a Japanese nunome-zōgan metal-inlay box made of dark iron overlaid with gold and silver textile-like inlay, showing waves, flowers, and geometric bands",2,3,True,False,False,True,1011,pair_045_native_SS_g1_r1_s1011,pair_045,45,2,4,True,False,True,True,1,sample_0077,1,pair_045_standalone_A_g1_r1_s1011,pair_045_standalone_B_g1_r1_s1011
mixed_or_uncertain,False,True,True,a Persian floral carpet,"a Persian floral carpet with a wool pile and central medallion, showing curving vines, palmettes, and flowers in deep red, blue, and ivory",a Turkmen Tekke carpet,"a Turkmen Tekke carpet with a deep red wool pile and repeated octagonal guls, showing compact black, white, and dark-blue tribal geometry",5,0,True,True,False,True,1012,pair_081_native_SS_g1_r2_s1012,pair_081,81,5,3,True,True,True,True,2,sample_0080,1,pair_081_standalone_A_g1_r2_s1012,pair_081_standalone_B_g1_r2_s1012
mixed_or_uncertain,False,True,True,a Chinese blue-and-white porcelain plate,"a Chinese blue-and-white porcelain plate with cobalt-blue underglaze painting, showing Chinese landscape, lotus, and scrolling-cloud motifs",a Japanese Nabeshima porcelain plate,"a Japanese Nabeshima porcelain plate with underglaze-blue outlines and sparse overglaze color, showing asymmetrical flowers, textiles, and geometric border motifs",4,2,True,True,False,True,3032,pair_002_native_SS_g3_r2_s3032,pair_002,2,5,3,True,True,True,True,2,sample_0089,3,pair_002_standalone_A_g3_r2_s3032,pair_002_standalone_B_g3_r2_s3032
mixed_or_uncertain,True,True,True,a Spanish Toledo damascened vase,"a Spanish Toledo damascened vase made of blackened steel inlaid with gold and silver, showing Moorish arabesques and geometric filigree patterns",a Korean ipsa metal-inlay vase,"a Korean ipsa metal-inlay vase made of dark patinated metal inlaid with silver wire, showing cranes, clouds, and sparse linear landscape motifs",2,2,True,True,False,True,3033,pair_046_native_SS_g3_r3_s3033,pair_046,46,2,3,True,False,True,True,3,sample_0091,3,pair_046_standalone_A_g3_r3_s3033,pair_046_standalone_B_g3_r3_s3033
mixed_or_uncertain,True,False,True,a Venetian Murano glass vase,"a Venetian Murano glass vase made from vividly colored blown glass with layered canes, showing curves, millefiori accents, and polished translucent depth",a Palestinian Hebron blown-glass vase,"a Palestinian Hebron blown-glass vase made from recycled glass in translucent turquoise and green, showing a irregular hand-blown body, bubbles, and applied glass trails",3,4,True,True,True,True,2021,pair_091_native_SS_g2_r1_s2021,pair_091,91,2,4,True,False,True,True,1,sample_0092,2,pair_091_standalone_A_g2_r1_s2021,pair_091_standalone_B_g2_r1_s2021
mixed_or_uncertain,True,False,True,an Indonesian batik cloth,"an Indonesian batik cloth with wax-resist dyeing in indigo, brown, and cream, showing parang diagonals, kawung rosettes, and densely repeated floral motifs",a Nigerian adire cloth,"a Nigerian adire cloth with indigo resist-dyed cotton, showing white circles, grids, comb-like marks, and hand-drawn or stitched geometric patterns",2,3,True,False,True,True,3033,pair_071_native_SS_g3_r3_s3033,pair_071,71,4,4,True,True,True,True,3,sample_0100,3,pair_071_standalone_A_g3_r3_s3033,pair_071_standalone_B_g3_r3_s3033
knowledge_insufficiency,False,True,True,a Mexican Mata Ortiz pottery jar,"a Mexican Mata Ortiz pottery jar with a thin-walled polished clay body and black-and-red painting, showing interlocking geometric and Mimbres-inspired animal motifs",a Serbian Zlakusa pottery jar,"a Serbian Zlakusa pottery jar made from clay mixed with ground calcite, showing a unglazed surface, rounded cooking-vessel form, and sparse incised bands",3,2,True,True,False,True,1011,pair_025_native_SS_g1_r1_s1011,pair_025,25,4,3,True,True,False,True,1,sample_0102,1,pair_025_standalone_A_g1_r1_s1011,pair_025_standalone_B_g1_r1_s1011
mixed_or_uncertain,False,True,True,a Japanese raden lacquerware lidded box,"a Japanese raden lacquerware lidded box with deep black lacquer and iridescent mother-of-pearl shell inlay forming bird, flower, and geometric motifs",a Mexican Olinalá lacquerware lidded box,"a Mexican Olinalá lacquerware lidded box made from linaloe wood, with red, ochre, green, blue, and white floral and animal decoration and incised rayado patterns",3,2,True,False,False,True,2022,pair_034_native_SS_g2_r2_s2022,pair_034,34,4,3,True,True,True,True,2,sample_0135,2,pair_034_standalone_A_g2_r2_s2022,pair_034_standalone_B_g2_r2_s2022
shift_location_disagreement,False,False,True,an Indian Bidriware box,"an Indian Bidriware box made of blackened zinc alloy inlaid with silver, showing poppy flowers, geometric lattices, and arabesques",an Egyptian Mamluk-style inlaid-brass box,"an Egyptian Mamluk-style inlaid-brass box made of brass inlaid with silver and copper, showing monumental calligraphy, interlaced medallions, and geometric borders",3,3,True,True,False,True,3031,pair_048_native_SS_g3_r1_s3031,pair_048,48,3,4,True,True,True,True,1,sample_0144,3,pair_048_standalone_A_g3_r1_s3031,pair_048_standalone_B_g3_r1_s3031
mixed_or_uncertain,True,False,True,a Hungarian Matyó embroidery panel,"a Hungarian Matyó embroidery panel worked in red, pink, blue, yellow, and green thread, showing densely packed roses and curling floral sprays",a Slovak Detva embroidery panel,"a Slovak Detva embroidery panel worked in chain stitch and satin stitch, showing compact geometric flowers, hearts, and rhythmic folk borders",1,1,True,False,False,True,2022,pair_077_native_SS_g2_r2_s2022,pair_077,77,4,5,True,True,True,True,2,sample_0149,2,pair_077_standalone_A_g2_r2_s2022,pair_077_standalone_B_g2_r2_s2022
mixed_or_uncertain,False,True,True,a Moroccan engraved-brass tray,"a Moroccan engraved-brass tray with a polished brass surface densely chased with radiating stars, arabesques, and scalloped geometric borders",a Persian qalamzani copper tray,"a Persian qalamzani copper tray with a darkened chased copper surface, showing hunting scenes, birds, flowers, and concentric arabesque bands",3,2,True,True,False,True,3033,pair_051_native_SS_g3_r3_s3033,pair_051,51,4,3,True,True,True,True,3,sample_0154,3,pair_051_standalone_A_g3_r3_s3033,pair_051_standalone_B_g3_r3_s3033
composition_mechanism_failure,False,True,True,a Persian floral carpet,"a Persian floral carpet with a wool pile and central medallion, showing curving vines, palmettes, and flowers in deep red, blue, and ivory",a Tibetan khaden carpet,"a Tibetan khaden carpet with a compact wool pile in red, blue, yellow, and cream, showing snow lions, lotus flowers, clouds, or checkerboard motifs",4,2,True,True,True,True,2022,pair_089_native_SS_g2_r2_s2022,pair_089,89,4,4,True,True,True,True,2,sample_0161,2,pair_089_standalone_A_g2_r2_s2022,pair_089_standalone_B_g2_r2_s2022
mixed_or_uncertain,True,False,True,an Ottoman İznik ceramic plate,"an Ottoman İznik ceramic plate with a white fritware body, cobalt blue, turquoise, emerald green, and raised bole-red painting, showing tulips, carnations, and saz leaves",an Armenian Kütahya ceramic plate,"an Armenian Kütahya ceramic plate with a white glazed body and blue, green, yellow, and red painting, showing rosettes, crosses, birds, and floral borders",2,3,True,False,False,True,2021,pair_017_native_SS_g2_r1_s2021,pair_017,17,0,5,True,True,True,True,1,sample_0171,2,pair_017_standalone_A_g2_r1_s2021,pair_017_standalone_B_g2_r1_s2021
mixed_or_uncertain,False,True,True,a Chinese blue-and-white porcelain vase,"a Chinese blue-and-white porcelain vase with cobalt-blue underglaze painting, showing Chinese landscape, lotus, and scrolling-cloud motifs",a Thai Bencharong porcelain vase,"a Thai Bencharong porcelain vase with polychrome overglaze enamel and gold outlines, showing repeating flame, deity, and floral motifs on a dark ground",4,2,True,True,False,True,2021,pair_003_native_SS_g2_r1_s2021,pair_003,3,4,3,True,True,True,True,1,sample_0172,2,pair_003_standalone_A_g2_r1_s2021,pair_003_standalone_B_g2_r1_s2021
mixed_or_uncertain,False,True,True,a Chinese silk-brocade robe,"a Chinese silk-brocade robe woven with colored silk and gold thread, showing dragons, clouds, waves, and organized auspicious emblems",an Assamese muga-silk robe,"an Assamese muga-silk robe woven from naturally golden silk with red, green, and black supplementary motifs, showing stylized flowers and geometric borders",3,2,True,False,False,True,1013,pair_066_native_SS_g1_r3_s1013,pair_066,66,5,2,True,True,True,True,3,sample_0177,1,pair_066_standalone_A_g1_r3_s1013,pair_066_standalone_B_g1_r3_s1013
knowledge_insufficiency,True,True,True,a Spanish Toledo damascened vase,"a Spanish Toledo damascened vase made of blackened steel inlaid with gold and silver, showing Moorish arabesques and geometric filigree patterns",a Korean ipsa metal-inlay vase,"a Korean ipsa metal-inlay vase made of dark patinated metal inlaid with silver wire, showing cranes, clouds, and sparse linear landscape motifs",1,1,True,False,False,True,2021,pair_046_native_SS_g2_r1_s2021,pair_046,46,2,3,True,False,False,True,1,sample_0183,2,pair_046_standalone_A_g2_r1_s2021,pair_046_standalone_B_g2_r1_s2021
knowledge_insufficiency,True,False,True,a Chinese sancai glazed ceramic jar,"a Chinese sancai glazed ceramic jar with amber, green, and cream lead glazes over a rounded earthenware body, showing drips and molded relief bands",a Peruvian Chulucanas pottery jar,"a Peruvian Chulucanas pottery jar with a burnished clay surface in black, cream, and brown, showing negative-painted geometric bands and abstract figures",2,4,True,False,True,True,1013,pair_022_native_SS_g1_r3_s1013,pair_022,22,2,5,True,False,True,True,3,sample_0193,1,pair_022_standalone_A_g1_r3_s1013,pair_022_standalone_B_g1_r3_s1013
composition_mechanism_failure,True,True,True,a Chinese silk-brocade robe,"a Chinese silk-brocade robe woven with colored silk and gold thread, showing dragons, clouds, waves, and organized auspicious emblems",an Assamese muga-silk robe,"an Assamese muga-silk robe woven from naturally golden silk with red, green, and black supplementary motifs, showing stylized flowers and geometric borders",3,2,True,True,True,True,3033,pair_066_native_SS_g3_r3_s3033,pair_066,66,3,4,True,True,True,True,3,sample_0196,3,pair_066_standalone_A_g3_r3_s3033,pair_066_standalone_B_g3_r3_s3033
mixed_or_uncertain,True,True,True,a Chinese silk-brocade robe,"a Chinese silk-brocade robe woven with colored silk and gold thread, showing dragons, clouds, waves, and organized auspicious emblems",an Assamese muga-silk robe,"an Assamese muga-silk robe woven from naturally golden silk with red, green, and black supplementary motifs, showing stylized flowers and geometric borders",3,2,True,False,False,True,2021,pair_066_native_SS_g2_r1_s2021,pair_066,66,3,3,True,True,True,True,1,sample_0205,2,pair_066_standalone_A_g2_r1_s2021,pair_066_standalone_B_g2_r1_s2021
mixed_or_uncertain,True,True,True,a Moroccan engraved-brass tray,"a Moroccan engraved-brass tray with a polished brass surface densely chased with radiating stars, arabesques, and scalloped geometric borders",a Persian qalamzani copper tray,"a Persian qalamzani copper tray with a darkened chased copper surface, showing hunting scenes, birds, flowers, and concentric arabesque bands",2,2,True,True,False,True,2023,pair_051_native_SS_g2_r3_s2023,pair_051,51,3,3,True,True,True,True,3,sample_0214,2,pair_051_standalone_A_g2_r3_s2023,pair_051_standalone_B_g2_r3_s2023
knowledge_insufficiency,False,True,True,an Italian tooled-leather wall panel,"an Italian tooled-leather wall panel made from embossed and gilded leather, showing scrolling acanthus leaves, heraldic forms, and brown-and-gold relief",a Spanish Córdoba guadamecí leather panel,"a Spanish Córdoba guadamecí leather panel made from silvered, painted, and embossed leather, showing Renaissance arabesques, flowers, and richly colored metallic relief",4,2,True,True,False,True,1012,pair_097_native_SS_g1_r2_s1012,pair_097,97,4,0,True,False,False,True,2,sample_0221,1,pair_097_standalone_A_g1_r2_s1012,pair_097_standalone_B_g1_r2_s1012
shift_location_disagreement,False,False,True,a Chinese sancai glazed ceramic jar,"a Chinese sancai glazed ceramic jar with amber, green, and cream lead glazes over a rounded earthenware body, showing drips and molded relief bands",a Peruvian Chulucanas pottery jar,"a Peruvian Chulucanas pottery jar with a burnished clay surface in black, cream, and brown, showing negative-painted geometric bands and abstract figures",3,2,True,False,True,True,2022,pair_022_native_SS_g2_r2_s2022,pair_022,22,2,5,True,False,True,True,2,sample_0242,2,pair_022_standalone_A_g2_r2_s2022,pair_022_standalone_B_g2_r2_s2022
shift_location_disagreement,False,False,True,a French Sèvres porcelain vase,"a French Sèvres porcelain vase with a bleu-céleste ground, gilded bronze-like ornament, and painted floral or courtly reserve panels",a Russian Imperial Porcelain cobalt-net vase,"a Russian Imperial Porcelain cobalt-net vase with cobalt-blue lattice, gold intersections, and radiating rosette motifs",4,3,True,True,True,True,2022,pair_007_native_SS_g2_r2_s2022,pair_007,7,4,5,True,True,True,True,2,sample_0244,2,pair_007_standalone_A_g2_r2_s2022,pair_007_standalone_B_g2_r2_s2022
knowledge_insufficiency,True,False,True,a Mexican Otomi embroidered blouse,"a Mexican Otomi embroidered blouse worked in flat satin stitch, showing mirrored birds, deer, flowers, and fantastical animals around the neckline and sleeves",a Guatemalan huipil blouse,"a Guatemalan huipil blouse woven and embroidered in colors, showing diamonds, birds, maize, and community-specific geometric bands",2,4,True,False,True,True,3032,pair_075_native_SS_g3_r2_s3032,pair_075,75,2,5,True,False,True,True,2,sample_0251,3,pair_075_standalone_A_g3_r2_s3032,pair_075_standalone_B_g3_r2_s3032
composition_mechanism_failure,True,False,True,an Ottoman tinned-copper ewer,"an Ottoman tinned-copper ewer with a reflective silver-toned tinned surface, tall curved spout, and chased tulip, cypress, and arabesque decoration",a Bosnian engraved-copper coffee ewer,"a Bosnian engraved-copper coffee ewer with a copper body, long curved spout, and hand-hammered rosette, star, and interlaced geometric motifs",3,4,True,True,True,True,1012,pair_052_native_SS_g1_r2_s1012,pair_052,52,3,4,True,True,True,True,2,sample_0252,1,pair_052_standalone_A_g1_r2_s1012,pair_052_standalone_B_g1_r2_s1012
knowledge_insufficiency,True,False,True,a Chinese celadon ceramic bowl,"a Chinese celadon ceramic bowl with translucent blue-green glaze, showing carved lotus petals beneath the glaze",a Vietnamese Lý–Trần celadon ceramic bowl,"a Vietnamese Lý–Trần celadon ceramic bowl with a pale jade-green glaze and lightly crackled surface, showing carved lotus petals and combed floral decoration",2,2,True,False,False,True,1011,pair_010_native_SS_g1_r1_s1011,pair_010,10,3,4,True,False,True,True,1,sample_0255,1,pair_010_standalone_A_g1_r1_s1011,pair_010_standalone_B_g1_r1_s1011
mixed_or_uncertain,False,True,True,a Japanese maki-e lacquerware box,"a Japanese maki-e lacquerware box with deep black lacquer sprinkled with gold and silver powder, showing cranes, pine branches, and landscape motifs",a Thai lai rod nam lacquerware box,"a Thai lai rod nam lacquerware box with black lacquer covered by gold-leaf resist decoration, showing flame, deity, and scrolling vegetal patterns",3,2,True,False,False,True,1013,pair_031_native_SS_g1_r3_s1013,pair_031,31,2,4,True,False,True,True,3,sample_0263,1,pair_031_standalone_A_g1_r3_s1013,pair_031_standalone_B_g1_r3_s1013
composition_mechanism_failure,True,False,True,a Chinese blue-and-white porcelain vase,"a Chinese blue-and-white porcelain vase with cobalt-blue underglaze painting, showing Chinese landscape, lotus, and scrolling-cloud motifs",a Vietnamese Bát Tràng blue-and-white ceramic vase,"a Vietnamese Bát Tràng blue-and-white ceramic vase with cobalt-blue hand-painted decoration on pale glaze, showing stylized lotus, fish, and scrolling foliage",3,2,True,True,False,True,1011,pair_001_native_SS_g1_r1_s1011,pair_001,1,3,4,True,True,True,True,1,sample_0265,1,pair_001_standalone_A_g1_r1_s1011,pair_001_standalone_B_g1_r1_s1011
mixed_or_uncertain,True,True,True,a Japanese sashiko textile panel,"a Japanese sashiko textile panel stitched with white running thread on indigo cotton, showing repeating hemp-leaf, wave, and linked-diamond reinforcement patterns",a Romanian ie-embroidery textile panel,"a Romanian ie-embroidery textile panel worked in red, black, blue, and metallic thread, showing vertical floral bands, diamonds, and region-specific geometric motifs",2,1,True,True,True,True,3032,pair_076_native_SS_g3_r2_s3032,pair_076,76,1,2,True,False,True,True,2,sample_0267,3,pair_076_standalone_A_g3_r2_s3032,pair_076_standalone_B_g3_r2_s3032
knowledge_insufficiency,True,True,True,a Japanese raden lacquerware tray,"a Japanese raden lacquerware tray with deep black lacquer and iridescent mother-of-pearl shell inlay forming bird, flower, and geometric motifs",a Korean najeonchilgi lacquerware tray,"a Korean najeonchilgi lacquerware tray with black lacquer and mother-of-pearl inlay, showing chrysanthemum scrolls, cranes, and repeated geometric borders",1,0,True,False,False,True,2023,pair_035_native_SS_g2_r3_s2023,pair_035,35,0,0,True,False,False,True,3,sample_0281,2,pair_035_standalone_A_g2_r3_s2023,pair_035_standalone_B_g2_r3_s2023
knowledge_insufficiency,False,True,True,a Chinese blue-and-white porcelain plate,"a Chinese blue-and-white porcelain plate with cobalt-blue underglaze painting, showing Chinese landscape, lotus, and scrolling-cloud motifs",a Japanese Nabeshima porcelain plate,"a Japanese Nabeshima porcelain plate with underglaze-blue outlines and sparse overglaze color, showing asymmetrical flowers, textiles, and geometric border motifs",4,2,True,True,False,True,1013,pair_002_native_SS_g1_r3_s1013,pair_002,2,5,3,True,True,False,True,3,sample_0282,1,pair_002_standalone_A_g1_r3_s1013,pair_002_standalone_B_g1_r3_s1013
knowledge_insufficiency,True,False,True,a Japanese raden lacquerware lidded box,"a Japanese raden lacquerware lidded box with deep black lacquer and iridescent mother-of-pearl shell inlay forming bird, flower, and geometric motifs",a Mexican Olinalá lacquerware lidded box,"a Mexican Olinalá lacquerware lidded box made from linaloe wood, with red, ochre, green, blue, and white floral and animal decoration and incised rayado patterns",2,2,True,False,False,True,3032,pair_034_native_SS_g3_r2_s3032,pair_034,34,4,4,True,False,True,True,2,sample_0293,3,pair_034_standalone_A_g3_r2_s3032,pair_034_standalone_B_g3_r2_s3032
knowledge_insufficiency,True,True,True,a Polish Bolesławiec stoneware jug,"a Polish Bolesławiec stoneware jug with a cream glazed body stamped in cobalt blue, showing repeated dots, peacock-eye rosettes, and circular folk patterns",a Bulgarian Troyan pottery jug,"a Bulgarian Troyan pottery jug with a dark glazed earthenware body and feathered slip decoration, showing brown, green, yellow, and cream wave patterns",2,2,True,False,False,True,3032,pair_020_native_SS_g3_r2_s3032,pair_020,20,1,1,True,False,False,True,2,sample_0299,3,pair_020_standalone_A_g3_r2_s3032,pair_020_standalone_B_g3_r2_s3032
knowledge_insufficiency,False,True,True,a Chinese black-lacquer wooden bowl,"a Chinese black-lacquer wooden bowl with a deep-black lacquer surface and red or gold linear decoration, showing a thin balanced profile",a Burmese yun lacquerware bowl,"a Burmese yun lacquerware bowl with black lacquer incised and filled with red, green, and yellow pigments, showing zodiac figures and geometric bands",3,2,True,True,False,True,1013,pair_037_native_SS_g1_r3_s1013,pair_037,37,4,3,True,True,False,True,3,sample_0305,1,pair_037_standalone_A_g1_r3_s1013,pair_037_standalone_B_g1_r3_s1013
composition_mechanism_failure,False,True,True,a Scottish tartan wool blanket,"a Scottish tartan wool blanket woven in colored wool with intersecting horizontal and vertical stripes, forming a balanced repeating clan-associated check pattern",a Swedish rya wool rug,"a Swedish rya wool rug with a long wool pile and woven backing, showing geometric diamonds, stripes, and abstract color fields",4,3,True,True,True,True,2022,pair_087_native_SS_g2_r2_s2022,pair_087,87,4,3,True,True,True,True,2,sample_0306,2,pair_087_standalone_A_g2_r2_s2022,pair_087_standalone_B_g2_r2_s2022
mixed_or_uncertain,False,True,True,a Mexican Talavera de Puebla plate,"a Mexican Talavera de Puebla plate with opaque white tin glaze, decorated with cobalt-blue, yellow, green, and orange painted floral and geometric bands",a Romanian Horezu pottery plate,"a Romanian Horezu pottery plate made of glazed earthenware with combed slip decoration, showing brown, green, blue, and ochre spirals, rosettes, and the Horezu rooster",4,2,True,True,False,True,3031,pair_016_native_SS_g3_r1_s3031,pair_016,16,5,0,True,True,True,True,1,sample_0309,3,pair_016_standalone_A_g3_r1_s3031,pair_016_standalone_B_g3_r1_s3031
